File Name,User,License,License Link,Usage
Break Mirror001.wav,Tetrisrocker,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Break Mirror004.wav,Tetrisrocker,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Balloon Tapping,antistatikk,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
pen-tap,fredsonic,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
tapping.aif,dnforbes,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Tap tap tap,CaptainYulef,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
"Tapping, Wall, A.wav",InspectorJ,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Tapping.wav,13FPanska_Machacova_Petra,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
mic handling,passerkirbius,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
tappingMic.wav,susychristiansen,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
contact_mic_on_plate02.wav,wjoojoo,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Hitting Microphone,JoeyCorlett,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
tabletap.mp3,3dwarD0,Sampling Plus 1.0 Generic,https://creativecommons.org/licenses/sampling+/1.0/,"Original, Altered"
frying food,paisagemsonoraunila,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Frying an omlette,ThePacifist,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Frying egg.mp3,solifer,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
sausages frying.wav,kwahmah_02,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Food Cooking in Frying Pan,deleted_user_7146007,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
placing fried food on plate,NachtmahrTV,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
